OA11CD,LSOA11CD,supgrpcode,supgrpname,Total_Population
E00169467,E01013725,4,Multicultural Metropolitans,415
E00069463,E01013771,4,Multicultural Metropolitans,412
E00069461,E01013772,8,Hard-Pressed Living,333
E00069005,E01013669,6,Suburbanites,391
E00069084,E01013682,4,Multicultural Metropolitans,273
E00069002,E01013670,4,Multicultural Metropolitans,357
E00069083,E01013683,4,Multicultural Metropolitans,289
E00069356,E01013745,4,Multicultural Metropolitans,471
E00069357,E01013746,3,Ethnicity Central,548
E00069358,E01013745,4,Multicultural Metropolitans,457
E00069261,E01013731,4,Multicultural Metropolitans,366
E00069268,E01013727,8,Hard-Pressed Living,378
E00169505,E01032867,2,Cosmopolitans,224
E00169503,E01013607,4,Multicultural Metropolitans,365
E00069500,E01013775,4,Multicultural Metropolitans,313
E00169452,E01013683,4,Multicultural Metropolitans,246
E00069456,E01013770,4,Multicultural Metropolitans,285
E00069452,E01013767,8,Hard-Pressed Living,263
E00069450,E01013773,4,Multicultural Metropolitans,319
E00169455,E01032868,2,Cosmopolitans,281
E00069459,E01032597,4,Multicultural Metropolitans,249
E00068707,E01013613,4,Multicultural Metropolitans,309
E00068704,E01013610,5,Urbanites,264
E00068786,E01013626,4,Multicultural Metropolitans,439
E00068785,E01013625,4,Multicultural Metropolitans,399
E00068700,E01013602,4,Multicultural Metropolitans,305
E00068781,E01013621,4,Multicultural Metropolitans,299
E00068709,E01013613,4,Multicultural Metropolitans,315
E00068788,E01013626,4,Multicultural Metropolitans,462
E00068657,E01013604,8,Hard-Pressed Living,413
E00068658,E01013605,4,Multicultural Metropolitans,359
E00068659,E01013605,4,Multicultural Metropolitans,334
E00068934,E01013651,4,Multicultural Metropolitans,304
E00068935,E01013653,4,Multicultural Metropolitans,455
E00068932,E01013651,4,Multicultural Metropolitans,366
E00068933,E01013651,4,Multicultural Metropolitans,371
E00068841,E01013636,4,Multicultural Metropolitans,328
E00068849,E01013637,8,Hard-Pressed Living,340
